phi1,phi2,phi3,theta1,theta2,theta3,result
5,127,8,103,305,285,-3.163785279729574
5,127,8,103,300,285,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37dd7a0>>
5,127,8,103,295,285,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37e13f8>>
5,127,13,103,295,285,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37e1128>>
5,122,13,103,295,285,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37e1368>>
5,122,13,108,295,285,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37dda70>>
5,127,13,108,295,285,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37e1320>>
5,132,13,108,295,285,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37ddcb0>>
5,127,13,108,295,285,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37e1440>>
10,127,13,108,295,285,<bound method Antenna.function of <models.Antenna instance at 0x7f1db3843dd0>>
10,122,13,108,295,285,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37e1488>>
10,122,13,108,295,280,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37e17a0>>
10,122,13,108,290,280,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37e15a8>>
10,122,13,108,290,275,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37e1830>>
10,122,13,108,290,270,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37e1878>>
5,122,13,108,290,270,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37ddab8>>
5,127,13,108,290,270,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37e13b0>>
5,127,13,113,290,270,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37dde18>>
0,127,13,113,290,270,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37e1248>>
0,127,13,113,290,275,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37e1950>>
0,127,13,113,290,275,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37e1290>>
0,127,13,113,285,275,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37e1680>>
0,127,13,113,280,275,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37e17e8>>
0,127,13,113,275,275,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37e1710>>
0,122,13,113,275,275,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37e16c8>>
0,127,13,113,275,275,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37e1200>>
0,127,13,113,280,275,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37e1908>>
0,127,13,113,275,275,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37e19e0>>
0,127,13,118,275,275,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37e14d0>>
0,127,13,118,270,275,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37e1a70>>
0,127,13,113,270,275,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37e1638>>
0,122,13,113,270,275,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37e15f0>>
0,122,13,113,270,280,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37e1cf8>>
0,127,13,113,270,280,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37e1560>>
0,127,13,113,270,280,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37e12d8>>
0,127,13,113,270,285,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37e1dd0>>
0,127,13,113,270,290,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37e1e18>>
0,127,13,113,270,295,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37e1e60>>
0,122,13,113,270,295,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37e1ab8>>
5,122,13,113,270,295,<bound method Antenna.function of <models.Antenna instance at 0x7f1db3843c68>>
5,122,18,113,270,295,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37e1d88>>
5,122,18,113,270,290,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37e3050>>
5,122,13,113,270,290,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37e1f38>>
5,122,8,113,270,290,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37e1ef0>>
10,122,8,113,270,290,<bound method Antenna.function of <models.Antenna instance at 0x7f1db3843c20>>
15,122,8,113,270,290,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37ddbd8>>
10,122,8,113,270,290,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37e1758>>
10,122,8,108,270,290,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37e1b00>>
15,122,8,108,270,290,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37e1518>>
20,122,8,108,270,290,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37e1170>>
25,122,8,108,270,290,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37e1998>>
25,127,8,108,270,290,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37e1cb0>>
30,127,8,108,270,290,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37e1a28>>
25,127,8,108,270,290,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37e18c0>>
25,127,8,103,270,290,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37e1ea8>>
25,127,8,108,270,290,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37e1c20>>
25,127,3,108,270,290,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37e3368>>
25,127,3,108,275,290,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37e3200>>
25,127,3,108,275,295,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37e3488>>
25,127,8,108,275,295,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37e33b0>>
25,127,13,108,275,295,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37e32d8>>
25,127,13,103,275,295,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37e1f80>>
25,127,8,103,275,295,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37e3518>>
25,127,13,103,275,295,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37e34d0>>
25,127,18,103,275,295,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37e33f8>>
25,127,18,103,275,300,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37e3680>>
25,127,18,108,275,300,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37e1c68>>
25,127,18,108,275,305,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37e3710>>
25,132,18,108,275,305,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37e3128>>
25,137,18,108,275,305,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37e3170>>
25,137,18,108,280,305,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37e35a8>>
25,132,18,108,280,305,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37e3320>>
25,132,13,108,280,305,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37e37e8>>
25,132,13,108,280,300,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37e3950>>
25,132,18,108,280,300,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37e3758>>
25,132,13,108,280,300,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37e3830>>
25,132,13,108,285,300,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37e3638>>
25,132,13,103,285,300,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37e30e0>>
25,132,13,103,285,295,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37e3ab8>>
25,132,13,103,285,300,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37e3a70>>
25,132,13,103,290,300,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37e36c8>>
20,132,13,103,290,300,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37e1b90>>
20,132,8,103,290,300,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37e3a28>>
20,132,8,103,290,305,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37e3b90>>
