phi1,phi2,phi3,theta1,theta2,theta3,result,temperature
351,202,302,348,163,73,-4.939578593200563,"(array([351, 202, 302]), array([348, 163,  58]), -4.834490519720393, 0.7716375)"
351,202,302,348,163,68,-4.9361641366605395,"(array([351, 202, 302]), array([348, 163,  58]), -4.834490519720393, 0.7716375)"
351,202,302,348,163,63,-5.1260207962515825,"(array([351, 202, 302]), array([348, 163,  58]), -4.834490519720393, 0.7716375)"
351,202,302,348,163,58,-4.834490519720393,"(array([351, 202, 302]), array([348, 163,  58]), -4.834490519720393, 0.7716375)"
351,202,302,348,163,53,-5.16032852274139,"(array([351, 202, 302]), array([348, 163,  58]), -4.834490519720393, 0.7716375)"
351,202,302,348,163,48,-4.83539069080691,"(array([351, 202, 302]), array([348, 163,  58]), -4.834490519720393, 0.7716375)"
351,202,297,348,163,48,-4.8973759995943835,"(array([351, 202, 302]), array([348, 163,  58]), -4.834490519720393, 0.7716375)"
351,202,297,348,163,43,-5.085287501874171,"(array([351, 202, 302]), array([348, 163,  58]), -4.834490519720393, 0.7716375)"
351,202,297,348,163,38,-4.898103807897737,"(array([351, 202, 302]), array([348, 163,  58]), -4.834490519720393, 0.7716375)"
351,202,302,348,163,38,-4.847935763780884,"(array([351, 202, 302]), array([348, 163,  58]), -4.834490519720393, 0.7716375)"
351,202,302,353,163,38,-4.292982814792472,"(array([351, 202, 302]), array([348, 163,  58]), -4.834490519720393, 0.7716375)"
351,202,302,358,163,38,-3.745196717576933,"(array([351, 202, 302]), array([348, 163,  58]), -4.834490519720393, 0.7716375)"
351,202,302,360,163,38,-3.5304614829736547,"(array([351, 202, 302]), array([348, 163,  58]), -4.834490519720393, 0.7716375)"
351,197,302,360,163,38,-3.350620034829119,"(array([351, 202, 302]), array([348, 163,  58]), -4.834490519720393, 0.7716375)"
351,192,302,360,163,38,-3.166641762465537,"(array([351, 202, 302]), array([348, 163,  58]), -4.834490519720393, 0.7716375)"
351,187,302,360,163,38,-2.9796877880900747,"(array([351, 202, 302]), array([348, 163,  58]), -4.834490519720393, 0.7716375)"
351,182,302,360,163,38,-2.7909765433546263,"(array([351, 202, 302]), array([348, 163,  58]), -4.834490519720393, 0.7716375)"
351,177,302,360,163,38,-2.6017603034169854,"(array([351, 202, 302]), array([348, 163,  58]), -4.834490519720393, 0.7716375)"
351,172,302,360,163,38,-2.4133010692053696,"(array([351, 202, 302]), array([348, 163,  58]), -4.834490519720393, 0.7716375)"
351,167,302,360,163,38,-2.2268462623730447,"(array([351, 202, 302]), array([348, 163,  58]), -4.834490519720393, 0.7716375)"
351,162,302,360,163,38,-2.0436047010371454,"(array([351, 202, 302]), array([348, 163,  58]), -4.834490519720393, 0.7716375)"
351,157,302,360,163,38,-1.8647233189882015,"(array([351, 202, 302]), array([348, 163,  58]), -4.834490519720393, 0.7716375)"
351,152,302,360,163,38,-1.6912650767382083,"(array([351, 202, 302]), array([348, 163,  58]), -4.834490519720393, 0.7716375)"
351,147,302,360,163,38,-1.5241884898213505,"(array([351, 202, 302]), array([348, 163,  58]), -4.834490519720393, 0.7716375)"
351,142,302,360,163,38,-1.3643291686145917,"(array([351, 202, 302]), array([348, 163,  58]), -4.834490519720393, 0.7716375)"
351,137,302,360,163,38,-1.2123837252051792,"(array([351, 202, 302]), array([348, 163,  58]), -4.834490519720393, 0.7716375)"
351,132,302,360,163,38,-1.0688963572448966,"(array([351, 202, 302]), array([348, 163,  58]), -4.834490519720393, 0.7716375)"
351,127,302,360,163,38,-0.9342483671743882,"(array([351, 202, 302]), array([348, 163,  58]), -4.834490519720393, 0.7716375)"
351,122,302,360,163,38,-0.80865081866824,"(array([351, 202, 302]), array([348, 163,  58]), -4.834490519720393, 0.7716375)"
351,117,302,360,163,38,-0.6921404717313233,"(array([351, 202, 302]), array([348, 163,  58]), -4.834490519720393, 0.7716375)"
351,112,302,360,163,38,-0.5845790747329216,"(array([351, 202, 302]), array([348, 163,  58]), -4.834490519720393, 0.7716375)"
351,107,302,360,163,38,-0.48565602701345717,"(array([351, 202, 302]), array([348, 163,  58]), -4.834490519720393, 0.7716375)"
351,102,302,360,163,38,-0.39489436078431145,"(array([351, 202, 302]), array([348, 163,  58]), -4.834490519720393, 0.7716375)"
351,97,302,360,163,38,-0.31165992711453266,"(array([351, 202, 302]), array([348, 163,  58]), -4.834490519720393, 0.7716375)"
351,92,302,360,163,38,-0.23517360909027235,"(array([351, 202, 302]), array([348, 163,  58]), -4.834490519720393, 0.7716375)"
351,87,302,360,163,38,-0.16452632693207986,"(array([351, 202, 302]), array([348, 163,  58]), -4.834490519720393, 0.7716375)"
351,87,302,360,168,38,-0.09757095507462071,"(array([351, 202, 302]), array([348, 163,  58]), -4.834490519720393, 0.7716375)"
351,82,302,360,168,38,-0.007168626081671292,"(array([351, 202, 302]), array([348, 163,  58]), -4.834490519720393, 0.7716375)"
351,77,302,360,168,38,0.08061968936989067,"(array([351, 202, 302]), array([348, 163,  58]), -4.834490519720393, 0.7716375)"
351,72,302,360,168,38,0.16663091053699314,"(array([351, 202, 302]), array([348, 163,  58]), -4.834490519720393, 0.7716375)"
351,72,302,360,173,38,0.25562556914168616,"(array([351, 202, 302]), array([348, 163,  58]), -4.834490519720393, 0.7716375)"
351,67,302,360,173,38,0.3649828498233935,"(array([351, 202, 302]), array([348, 163,  58]), -4.834490519720393, 0.7716375)"
351,62,302,360,173,38,0.47433000537374975,"(array([351, 202, 302]), array([348, 163,  58]), -4.834490519720393, 0.7716375)"
351,57,302,360,173,38,0.5841855763385089,"(array([351, 202, 302]), array([348, 163,  58]), -4.834490519720393, 0.7716375)"
351,52,302,360,173,38,0.6950583116226692,"(array([351, 202, 302]), array([348, 163,  58]), -4.834490519720393, 0.7716375)"
351,52,302,360,178,38,0.812443364435653,"(array([351, 202, 302]), array([348, 163,  58]), -4.834490519720393, 0.7716375)"
351,47,302,360,178,38,0.9442915474381881,"(array([351, 202, 302]), array([348, 163,  58]), -4.834490519720393, 0.7716375)"
351,42,302,360,178,38,1.0767015796504087,"(array([351, 202, 302]), array([348, 163,  58]), -4.834490519720393, 0.7716375)"
351,37,302,360,178,38,1.209794111403992,"(array([351, 202, 302]), array([348, 163,  58]), -4.834490519720393, 0.7716375)"
351,32,302,360,178,38,1.3436766486802745,"(array([351, 202, 302]), array([348, 163,  58]), -4.834490519720393, 0.7716375)"
351,27,302,360,178,38,1.4784414826381227,"(array([351, 202, 302]), array([348, 163,  58]), -4.834490519720393, 0.7716375)"
351,22,302,360,178,38,1.6141639121661042,"(array([351, 202, 302]), array([348, 163,  58]), -4.834490519720393, 0.7716375)"
351,17,302,360,178,38,1.7509007936910763,"(array([351, 202, 302]), array([348, 163,  58]), -4.834490519720393, 0.7716375)"
351,12,302,360,178,38,1.8886894461726362,"(array([351, 202, 302]), array([348, 163,  58]), -4.834490519720393, 0.7716375)"
351,7,302,360,178,38,2.0275469323722497,"(array([351, 202, 302]), array([348, 163,  58]), -4.834490519720393, 0.7716375)"
351,2,302,360,178,38,2.167469730239249,"(array([351, 202, 302]), array([348, 163,  58]), -4.834490519720393, 0.7716375)"
351,2,302,360,183,38,2.293105881388864,"(array([351, 202, 302]), array([348, 163,  58]), -4.834490519720393, 0.7716375)"
356,2,302,360,183,38,2.352419897111899,"(array([351, 202, 302]), array([348, 163,  58]), -4.834490519720393, 0.7716375)"
360,2,302,360,183,38,10.125974135942931,"(array([351, 202, 302]), array([348, 163,  58]), -4.834490519720393, 0.7716375)"
360,0,302,360,183,38,10.180147613184948,"(array([351, 202, 302]), array([348, 163,  58]), -4.834490519720393, 0.7716375)"
360,0,302,360,188,38,10.207733033665937,"(array([351, 202, 302]), array([348, 163,  58]), -4.834490519720393, 0.7716375)"
360,0,302,360,188,38,10.207733033665937,"(array([351, 202, 302]), array([348, 163,  58]), -4.834490519720393, 0.7716375)"
360,0,302,360,188,38,10.207733033665937,"(array([351, 202, 302]), array([348, 163,  58]), -4.834490519720393, 0.7716375)"
360,0,302,360,188,38,10.207733033665937,"(array([351, 202, 302]), array([348, 163,  58]), -4.834490519720393, 0.7716375)"
360,0,302,360,188,38,10.207733033665937,"(array([351, 202, 302]), array([348, 163,  58]), -4.834490519720393, 0.7716375)"
360,0,302,360,188,38,10.207733033665937,"(array([351, 202, 302]), array([348, 163,  58]), -4.834490519720393, 0.7716375)"
360,0,302,360,188,38,10.207733033665937,"(array([351, 202, 302]), array([348, 163,  58]), -4.834490519720393, 0.7716375)"
360,0,302,360,188,38,10.207733033665937,"(array([351, 202, 302]), array([348, 163,  58]), -4.834490519720393, 0.7716375)"
360,0,302,360,188,38,10.207733033665937,"(array([351, 202, 302]), array([348, 163,  58]), -4.834490519720393, 0.7716375)"
360,0,302,360,188,38,10.207733033665937,"(array([351, 202, 302]), array([348, 163,  58]), -4.834490519720393, 0.7716375)"
